TagId,TagName,AssociatedEquipment,Section,SignalType,ParameterName,ParameterType,MeasurementUnit,MinimumRange,MaximumRange,Low,High,CreatedAt,UpdatedAt
VE_600A,BFP-A DE vib.,Boiler Feed Pump,Boiler,Analog Input,BFP-A DE vibration,Vibration,MM/S,0,25,,7,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VE_600B,BFP-A NDE vib.,Boiler Feed Pump,Boiler,Analog Input,BFP-A NDE vibration,Vibration,MM/S,0,25,,7,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VE_601A,BFP-B DE vib.,Boiler Feed Pump,Boiler,Analog Input,BFP-B DE vibration,Vibration,MM/S,0,25,,7,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VE_601B,BFP-B NDE vib.,Boiler Feed Pump,Boiler,Analog Input,BFP-B NDE vibration,Vibration,MM/S,0,25,,7,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VE_602A,BFP-C DE vib.,Boiler Feed Pump,Boiler,Analog Input,BFP-C DE vibration,Vibration,MM/S,0,25,,7,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VE_602B,BFP-C NDE vib.,Boiler Feed Pump,Boiler,Analog Input,BFP-C NDE vibration,Vibration,MM/S,0,25,,7,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VE_603A,BFP-D DE vib.,Boiler Feed Pump,Boiler,Analog Input,BFP-D DE vibration,Vibration,MM/S,0,25,,7,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VE_603B,BFP-D NDE vib.,Boiler Feed Pump,Boiler,Analog Input,BFP-D NDE vibration,Vibration,MM/S,0,25,,7,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VE_715,Generator Fron After Vib-Y,Turbine Alternator,Turbine,Analog Input,Generator fore bearing vibration Y axis,Vibration,Mils,0,10,,4,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VE_716,Generator Front Vib-X,Turbine Alternator,Turbine,Analog Input,Generator fore bearing vibration X axis,Vibration,Mils,0,10,,4,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VE_717,Generator Rear Vib-Y,Turbine Alternator,Turbine,Analog Input,Generator after bearing vibration Y axis,Vibration,Mils,0,10,,4,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VE_718,Generator Rear Vib-X,Turbine Alternator,Turbine,Analog Input,Generator after bearing vibration X axis,Vibration,Mils,0,10,,4,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VE_901A,ID fan-A DE vib.,ID Fan,Boiler,Analog Input,ID fan-A DE vibration,Vibration,MM/S,0,25,,7,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VE_901B,ID fan-A NDE vib.,ID Fan,Boiler,Analog Input,ID fan-A NDE vibration,Vibration,MM/S,0,25,,7,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VE_902A,ID fan-B DE vib.,ID Fan,Boiler,Analog Input,ID fan-B DE vibration,Vibration,MM/S,0,25,,7,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VE_902B,ID fan-B NDE vib.,ID Fan,Boiler,Analog Input,ID fan-B NDE vibration,Vibration,MM/S,0,25,,7,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VE_903A,SA fan-A DE vib.,SA Fan,Boiler,Analog Input,SA fan-A DE vibration,Vibration,MM/S,0,25,,7,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VE_903B,SA fan-A NDE vib.,SA Fan,Boiler,Analog Input,SA fan-A NDE vibration,Vibration,MM/S,0,25,,7,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VE_904A,SA fan-B DE vib.,SA Fan,Boiler,Analog Input,SA fan-B DE vibration,Vibration,MM/S,0,25,,7,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VE_904B,SA fan-B NDE vib.,SA Fan,Boiler,Analog Input,SA fan-B NDE vibration,Vibration,MM/S,0,25,,7,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VE_905A,FD fan-A DE vib.,FD Fan,Boiler,Analog Input,FD fan-A DE vibration,Vibration,MM/S,0,25,,7,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VE_905B,FD fan-A NDE vib.,FD Fan,Boiler,Analog Input,FD fan-A NDE vibration,Vibration,MM/S,0,25,,7,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VE_906A,FD fan-B DE vib.,FD Fan,Boiler,Analog Input,FD fan-B DE vibration,Vibration,MM/S,0,25,,7,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VE_906B,FD fan-B NDE vib.,FD Fan,Boiler,Analog Input,FD fan-B NDE vibration,Vibration,MM/S,0,25,,7,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VI_701,Turbine Rotor Front-X Vib.,30.85 MW Turbine,Turbine,Analog Input,Turbine rotor fore bearing vibration X axis,Vibration,Mils,0,10,,3.5,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VI_702,Turbine Rotor Front-Y Vib.,30.85 MW Turbine,Turbine,Analog Input,Turbine rotor fore bearing vibration Y axis,Vibration,Mils,0,10,,3.5,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VI_704,Turbine Rotor Rear-X Vib.,30.85 MW Turbine,Turbine,Analog Input,Turbine rotor after bearing vibration X axis,Vibration,Mils,0,10,,3.5,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VI_705,Turbine Rotor Rear-Y Vib.,30.85 MW Turbine,Turbine,Analog Input,Turbine rotor after bearing vibration Y axis,Vibration,Mils,0,10,,3.5,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VI_706,Turbine Pinion Front-X Vib.,Turbine Pinion,Turbine,Analog Input,Turbine pinion fore bearing vibration X axis,Vibration,Mils,0,10,,4,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VI_707,Turbine Pinion Front-Y Vib.,Turbine Pinion,Turbine,Analog Input,Turbine pinion fore bearing vibration Y axis,Vibration,Mils,0,10,,4,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VI_708,Gear Front Vib-X,Turbine Gear Wheel,Turbine,Analog Input,Gear wheel fore bearing vibration X axis,Vibration,Mils,0,10,,4,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VI_709,Gear Front Vib-Y,Turbine Gear Wheel,Turbine,Analog Input,Gear wheel fore bearing vibration Y axis,Vibration,Mils,0,10,,4,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VI_710,Turbine Pinion Rear -X Vib.,Turbine Pinion,Turbine,Analog Input,Turbine pinion after bearing vibration X axis,Vibration,Mils,0,10,,4,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VI_711,Turbine Pinion Rear -Y Vib.,Turbine Pinion,Turbine,Analog Input,Turbine pinion after bearing vibration Y axis,Vibration,Mils,0,10,,4,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VI_712,Gear Rear Vib-X,Turbine Gear Wheel,Turbine,Analog Input,Gear wheel after bearing vibration X axis,Vibration,Mils,0,10,,4,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VI_713,Gear Rear Vib-Y,Turbine Gear Wheel,Turbine,Analog Input,Gear wheel after bearing vibration Y axis,Vibration,Mils,0,10,,4,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
VOL_603,AVR excitation voltage,AVR,Turbine,Analog Input,AVR excitation voltage,Voltage,Voltage,0,250,,125,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
ZI_701,Turbine Axial Top,30.85 MW Turbine,Turbine,Analog Input,Turbine axial movement top-1,Vibration,Mils,-30,30,-24,6,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
ZI_702,Turbine Axial Bottom,30.85 MW Turbine,Turbine,Analog Input,Turbine axial movement bottom-2,Vibration,Mils,-30,30,-24,6,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
